rank,nome,avaliacao
796,Summoner Wars: Guild Dwarves vs Cave Goblins,7.57
797,Maharaja: The Game of Palace Building in India,7.11
798,The Lost Expedition,7.07
799,New York Zoo,7.24
800,Hannibal & Hamilcar,8.34
801,Smash Up: Science Fiction Double Feature,7.28
802,New York Zoo,7.24
803,Louis XIV,7.06
804,Palm Island,7.17
805,Heroscape Master Set: Swarm of the Marro,7.63
806,Tragedy Looper,7.19
807,Core Worlds,7.17
808,Unlock!: Timeless Adventures,7.88
809,Thunder Alley,7.32
810,Cerebria: The Inside World,7.82
811,Dungeons & Dragons: Wrath of Ashardalon Board Game,7.12
812,Battle for Rokugan,7.46
813,Age of Industry,7.36
814,Web of Power,7.30
815,Lanterns: The Harvest Festival,6.90
816,Wasteland Express Delivery Service,7.39
817,Qwixx,6.88
818,Britannia,7.20
819,Adrenaline,7.04
820,Clash of Cultures: Monumental Edition,8.60
821,Ascension: Storm of Souls,7.29
822,Mahjong,7.03
823,Letter Jam,7.27
824,Hawaii,7.13
825,Jaws,7.21
826,The Castles of Burgundy: The Card Game,6.99
827,Legacy: The Testament of Duke de Crecy,7.15
828,Dream Factory,7.05
829,Attika,6.99
830,Tiny Epic Quest,7.02
831,Zooloretto,6.82
832,Dungeons & Dragons: Castle Ravenloft Board Game,6.98
833,The City of Kings,7.67
834,Concept,6.80
835,Snow Tails,6.97
836,Fabled Fruit,7.01
837,5-Minute Dungeon,6.99
838,Parade,6.97
839,Whistle Mountain,7.77
840,Meeple Circus,7.09
841,Project: ELITE,8.10
842,Last Bastion,7.59
843,Werewords,7.15
844,Flick 'em Up!,6.91
845,SpaceCorp: 2025-2300AD,7.69
846,Red Rising,7.20
847,Call to Adventure,7.17
848,DC Comics Deck-Building Game,7.04
849,Raccoon Tycoon,7.38
850,Blue Lagoon,7.18
851,Tak,7.62
852,The Grimm Forest,7.12
853,Qwirkle,6.78
854,Lovecraft Letter,7.23
855,DinoGenics,7.69
856,La Città,7.03
857,Ascension: Return of the Fallen,7.29
858,Istanbul: The Dice Game,7.18
859,Luxor,7.21
860,Gold West,7.34
861,Legendary Encounters: A Predator Deck Building Game,7.45
862,Etherfields,8.07
863,Polis: Fight for the Hegemony,7.57
864,Lowlands,7.43
865,Antike,7.08
866,Discoveries: The Journals of Lewis & Clark,7.06
867,Zombicide: Invader,7.88
868,Marvel Dice Masters: Uncanny X-Men,7.18
869,The Speicherstadt,7.03
870,Star Wars: The Queen's Gambit,7.56
871,Coffee Roaster,7.46
872,Mr. Jack Pocket,6.88
873,Automobiles,7.26
874,History of the World,7.12
875,Star Trek: Frontiers,7.87
876,Space Hulk (Fourth Edition),7.96
877,Zombicide Season 3: Rue Morgue,7.55
878,World's Fair 1893,7.19
879,Merchant of Venus (Second Edition),7.16
880,Smash Up: Pretty Pretty Smash Up,7.25
881,Mint Works,6.99
882,Manila,6.98
883,Railroad Revolution,7.36
884,Kingsburg (Second Edition),7.46
885,Summoner Wars (Second Edition),8.38
886,Bloodborne: The Board Game,7.98
887,CO₂,7.13
888,Cottage Garden,6.88
889,Condottiere,6.85
890,Valley of the Kings,7.03
891,Black Fleet,7.01
892,Santa Monica,7.36
893,IKI,7.74
894,Majesty: For the Realm,6.97
895,Rivals for Catan,6.96
896,Fields of Green,7.16
897,Thunderstone: Dragonspire,7.34
898,Herbaceous,7.09
899,Circadians: First Light,7.67
900,Firenze,7.25
901,Rurik: Dawn of Kiev,7.83
902,Wiz-War (Eighth Edition),7.05
903,Riverboat,7.47
904,"Warhammer 40,000: Conquest",7.36
905,Winner's Circle,6.98
906,Islebound,7.18
907,Paris: La Cité de la Lumière,7.41
908,Roam,7.39
909,Disney Villainous: Perfectly Wretched,7.80
910,Ticket to Ride: New York,6.98
911,Rex: Final Days of an Empire,7.08
912,Smash Up: Monster Smash,7.29
913,Nations: The Dice Game,6.96
914,Splendor: Marvel,7.69
915,A Study in Emerald,7.19
916,"Time of Crisis: The Roman Empire in Turmoil, 235-284 AD",7.64
917,A Distant Plain,7.86
918,BattleCON: War of Indines,7.71
919,Empires of the Void II,7.52
920,Detective Club,7.43
921,Falling Sky: The Gallic Revolt Against Caesar,7.89
922,Container: 10th Anniversary Jumbo Edition!,7.69
923,Cat Lady,7.07
924,Tide of Iron,7.20
925,"Hey, That's My Fish!",6.70
926,When I Dream,7.03
927,Netrunner,7.45
928,The Big Book of Madness,6.94
929,NMBR 9,6.90
930,Caylus 1303,7.57
931,ICECOOL,6.81
932,Wildlands,7.29
933,Tales & Games: The Hare & the Tortoise,7.09
934,Vinci,7.07
935,Zendo,7.24
936,Wilderness War,7.71
937,Dice Town,6.86
938,Loony Quest,6.91
939,Stronghold,7.14
940,Via Nebula,7.04
941,Shikoku 1889,7.99
942,Batman: Gotham City Chronicles,7.69
943,Ohanami,7.37
944,Metropolys,7.02
945,Fauna,7.03
946,Mr. Jack in New York,7.21
947,The Lord of the Rings,6.74
948,Axis & Allies Anniversary Edition,7.44
949,Reavers of Midgard,7.45
950,Terror in Meeple City,6.85
951,Paper Tales,7.06
952,Shadowrun: Crossfire,7.15
953,Irish Gauge,7.32
954,Clinic: Deluxe Edition,7.72
955,Smash Up,6.73
956,China,6.98
957,Unmatched: Jurassic Park – InGen vs Raptors,8.22
958,Quartermaster General,7.35
959,Archaeology: The New Expedition,7.15
960,Linko!,6.99
961,Dream Home,6.90
962,Ikusa,7.03
963,Era: Medieval Age,7.26
964,Quarriors!,6.75
965,Two Rooms and a Boom,6.99
966,Black Sonata,7.53
967,Ambush!,7.47
968,Hardback,7.23
969,Battle Cry,7.15
970,Runebound: Second Edition,6.88
971,Massive Darkness,7.20
972,Babylonia,7.72
973,Battles of Westeros,7.26
974,Eight-Minute Empire: Legends,6.95
975,Ecos: First Continent,7.19
976,A War of Whispers,7.44
977,Diamonds: Second Edition,6.92
978,Ghost Fightin' Treasure Hunters,7.15
